Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindSpeed9am;Humidity9am;Pressure9am;Pressure3pm
16.02.2009;Albury;17.2;31.1;0;;;E;35;SE;17;43;1017.7;1013.8
17.02.2009;Albury;12.5;28.8;0;;;N;31;SSE;7;46;1017.2;1013.5
18.02.2009;Albury;18;32;0;;;NW;31;ENE;4;44;1012.4;1007.5
19.02.2009;Albury;16.2;34;0;;;WSW;48;SE;4;53;1007.8;1004.5
20.02.2009;Albury;18.7;29.1;0;;;SSW;41;NNW;7;45;1010.1;1010.8
21.02.2009;Albury;13.7;31.7;0;;;SSE;28;SSE;2;63;1012.5;1010.4
22.02.2009;Albury;15.5;33.2;0;;;NW;31;S;11;49;1015.6;1012.4
23.02.2009;Albury;14.3;34;0;;;NW;70;SE;6;48;1013;1009.2
24.02.2009;Albury;12.9;29.6;0;;;WNW;46;SW;7;54;1014;1012.7
25.02.2009;Albury;8.9;31.9;0;;;WNW;43;;0;49;1016.6;1013.4
26.02.2009;Albury;15;32.7;0;;;ESE;26;ESE;15;43;1017.8;1015
27.02.2009;Albury;15.4;32.6;0;;;W;24;;0;53;1016.2;1012.6
28.02.2009;Albury;16;34.5;0;;;WSW;44;E;6;44;1007.5;1004.6
01.03.2009;Albury;12.8;30.3;0;;;W;30;W;4;53;1010.5;1008.7
02.03.2009;Albury;13.2;31.9;0;;;NNW;35;S;6;53;1014.1;1011.6
03.03.2009;Albury;18;31.1;0;;;WNW;52;NE;15;58;1014.7;1009
04.03.2009;Albury;13.8;22.1;0.2;;;WNW;57;W;26;57;1014.5;1013.1
05.03.2009;Albury;11.5;22;0;;;SW;50;WSW;19;60;1013.7;1011.8
06.03.2009;Albury;7.6;24;0;;;WSW;30;;0;52;1014.5;1012
07.03.2009;Albury;8.3;27.9;0;;;W;37;S;4;58;1015.2;1012.4
08.03.2009;Albury;11;30.2;0;;;SSE;24;E;7;54;1017;1014.7
09.03.2009;Albury;13.8;31.8;0;;;NNE;24;SSE;6;49;1019.7;1015.9
10.03.2009;Albury;15.5;32;0;;;NE;50;ESE;2;51;1019.5;1016.2
11.03.2009;Albury;18.4;30.5;1.2;;;NE;44;NE;15;57;1021.3;1018
12.03.2009;Albury;20.9;25.7;0;;;W;37;ENE;11;52;1019.5;1018.9
13.03.2009;Albury;17.1;25.8;5.8;;;ENE;31;;0;82;1017.4;1014.7
14.03.2009;Albury;16.4;27;3;;;SW;69;E;9;82;1012.7;1008
15.03.2009;Albury;10;19.7;11.6;;;WNW;39;W;11;62;1013.4;1012
16.03.2009;Albury;8.8;21.9;0;;;W;39;S;2;78;1013.3;1011.6
17.03.2009;Albury;8.4;25.3;0;;;WNW;35;SSE;9;78;1015.6;1013.2
18.03.2009;Albury;9.3;28;0;;;NW;52;SSE;6;76;1017.4;1013.9
19.03.2009;Albury;11.3;30.1;0;;;WSW;24;S;6;56;1016.3;1013.6
20.03.2009;Albury;11.5;33.5;0;;;SSE;22;NE;7;50;1016.5;1013.6
21.03.2009;Albury;13.8;33.6;0;;;NNW;28;;0;47;1017;1013.1
22.03.2009;Albury;14.6;30;0;;;NE;37;E;4;56;1014.8;1012.7
23.03.2009;Albury;14.4;31.6;0;;;NW;37;;0;63;1013.7;1011.8
24.03.2009;Albury;10.8;31.9;0;;;S;48;SSE;6;62;1016.5;1014.4
25.03.2009;Albury;15.4;22.3;0.4;;;ENE;30;SSE;11;69;1017.4;1019.2
26.03.2009;Albury;13.3;29.8;1.8;;;WSW;33;;0;87;1019.1;1017.2
27.03.2009;Albury;10.1;27.6;0;;;WNW;43;;0;63;1023;1020.7
28.03.2009;Albury;9.1;28.9;0;;;NNW;24;N;2;60;1023.8;1020.6
29.03.2009;Albury;10.4;31.2;0;;;S;22;;0;60;1022.4;1019.1
30.03.2009;Albury;13.4;30.4;0;;;ENE;22;;0;57;1023;1019.5
31.03.2009;Albury;12.3;29.9;0;;;WSW;26;S;2;61;1023.2;1019.5
01.04.2009;Albury;12.2;30.6;0;;;SE;22;;0;59;1022.6;1019.4
02.04.2009;Albury;14.3;32.1;0;;;NE;28;;0;59;1022.6;1018.4
03.04.2009;Albury;18.4;28.1;8.6;;;W;98;E;7;92;1018.8;1012.9
04.04.2009;Albury;10.7;21.4;12.6;;;W;43;;0;60;1019.8;1019.3
05.04.2009;Albury;7.8;21.7;0;;;WSW;31;E;6;72;1020.4;1016.5
06.04.2009;Albury;8.1;21.4;0;;;W;35;SSE;13;58;1021.8;1019.6
07.04.2009;Albury;7.5;22.5;0;;;SE;28;S;7;55;1026.7;1023.5
08.04.2009;Albury;8.2;24;0;;;SSE;17;SSE;7;60;1027.1;1023.4
09.04.2009;Albury;8.1;25.7;0;;;ENE;22;ESE;9;67;1024.2;1019.6
10.04.2009;Albury;11.6;26.7;0;;;W;48;SE;6;59;1021.5;1017.7
11.04.2009;Albury;13;24.9;8.4;;;W;46;S;6;75;1024.4;1020.3
12.04.2009;Albury;13.5;24.2;6.2;;;WSW;20;;0;88;1024.1;1020.8
13.04.2009;Albury;9.9;25.4;0;;;NNE;19;ENE;4;65;1023;1018.7
14.04.2009;Albury;12.2;25;0;;;WNW;30;;0;68;1016.3;1011.6
15.04.2009;Albury;10.7;21.9;0;;;W;63;NW;26;44;1008.2;1009.8
16.04.2009;Albury;3.5;20;0;;;W;31;;0;65;1016.3;1012.8
17.04.2009;Albury;6.6;21.6;0;;;WNW;26;ENE;6;59;1018.5;1016.8
18.04.2009;Albury;7;23.4;0;;;W;24;SSE;2;73;1022.8;1019.3
19.04.2009;Albury;11.2;23.9;0;;;SE;31;SE;13;54;1022.7;1019.6
20.04.2009;Albury;7.4;22;0;;;SSE;28;SE;2;58;1023.6;1020
21.04.2009;Albury;5.7;21.4;0;;;ESE;17;ENE;6;68;1025.2;1020.9
22.04.2009;Albury;6.2;22.7;0;;;ESE;17;;0;73;1026;1021.6
23.04.2009;Albury;6;22.9;0;;;NE;33;;0;68;1021.3;1015.7
24.04.2009;Albury;10.6;16.2;0;;;WNW;39;ESE;7;74;1008.9;1002.4
25.04.2009;Albury;12.9;15.8;20;;;W;70;WNW;19;83;1004.8;1000.9
26.04.2009;Albury;8.6;12.9;21;;;NNW;63;NW;26;77;1004;1003.3
27.04.2009;Albury;4.5;11.5;3.2;;;NW;26;N;9;82;1013.8;1013.5
28.04.2009;Albury;7.6;14.5;4.8;;;WNW;35;W;15;83;1018;1018.3
29.04.2009;Albury;5.4;12.2;0;;;SSE;19;SE;9;62;1023.1;1020.9
30.04.2009;Albury;2.1;16.5;0;;;SW;19;;0;70;1023.4;1021.5
01.05.2009;Albury;1.8;17;0;;;SW;19;;0;77;1026;1023.2
02.05.2009;Albury;7.2;19.2;0;;;SW;22;ENE;7;81;1026.9;1024
03.05.2009;Albury;4.6;18.9;0;;;S;15;N;4;75;1028.7;1025.9
04.05.2009;Albury;4.2;19.1;0;;;W;19;ENE;6;86;1029.8;1027.3
05.05.2009;Albury;5.2;18.8;0;;;ESE;15;;0;71;1031.4;1028.1
06.05.2009;Albury;4.1;19.3;0;;;SW;20;ENE;6;82;1028.5;1024.6
07.05.2009;Albury;3.2;18.4;0;;;SW;20;SE;6;86;1026.2;1023.6
08.05.2009;Albury;4.3;19;0;;;W;15;;0;68;1028.8;1025.8
09.05.2009;Albury;3.7;20.5;0;;;W;17;;0;78;1026;1021.8
10.05.2009;Albury;5.4;19.5;0;;;SE;17;;0;69;1025.1;1022.3
11.05.2009;Albury;4.3;17.7;0;;;ESE;15;NNW;6;89;1025.6;1022.2
12.05.2009;Albury;3.6;18.5;0;;;W;26;ENE;4;81;1022.3;1018.5
13.05.2009;Albury;3.6;15.1;0;;;WNW;28;SE;4;86;1018.4;1015.7
14.05.2009;Albury;6.9;16.3;0;;;WNW;35;WNW;17;77;1015.3;1013.1
15.05.2009;Albury;10.3;16.6;0;;;WNW;54;NW;13;82;1015;1011
16.05.2009;Albury;12.4;16.4;1.8;;;W;52;W;22;82;1011.8;1013.4
17.05.2009;Albury;3;15.6;0;;;W;20;E;6;83;1022.5;1019.3
18.05.2009;Albury;2.6;19.7;0;;;E;13;;0;82;1024.7;1021.2
19.05.2009;Albury;3.7;19.1;0;;;SSE;19;;0;87;1023.6;1019.9
20.05.2009;Albury;5.1;18.6;0;;;E;13;SSE;2;75;1022.8;1020.5
21.05.2009;Albury;4.4;19.8;0;;;SE;20;;0;81;1025.2;1022.3
22.05.2009;Albury;4.7;19.8;0;;;SE;24;S;4;75;1025.2;1021.4
23.05.2009;Albury;6.2;22.9;0;;;E;30;NE;6;71;1022.2;1019.4
24.05.2009;Albury;6.7;21.1;0;;;SE;20;;0;69;1025;1022.1
25.05.2009;Albury;9.3;20.3;0;;;NE;31;SE;9;77;1024.6;1019.7
26.05.2009;Albury;11.6;18.1;4.2;;;E;19;E;2;97;1021.4;1019.2
27.05.2009;Albury;8;16.2;0.8;;;W;20;;0;99;1021.7;1019.3
28.05.2009;Albury;2.6;15.7;0;;;SSE;13;;0;91;1023.4;1021.6
29.05.2009;Albury;2.2;16.5;0;;;ESE;33;;0;67;1025.6;1024
30.05.2009;Albury;2.2;16.8;0;;;SE;26;;0;65;1030.3;1028.5
31.05.2009;Albury;1.7;17.1;0;;;NW;44;;0;73;1034.1;1029.9
01.06.2009;Albury;8;14.3;1.2;;;SE;13;;0;88;1031.9;1029.2
02.06.2009;Albury;8.4;13.4;1.4;;;SE;13;;0;78;1029.3;1026.2
03.06.2009;Albury;10.6;14.3;4.8;;;SE;13;ENE;6;85;1023.5;1020.4
04.06.2009;Albury;8.9;17.4;8;;;ENE;13;NW;2;99;1021;1017.5
05.06.2009;Albury;2.8;16.1;0;;;W;20;NNE;4;86;1017.9;1015.1
06.06.2009;Albury;1.7;10.5;0.2;;;ESE;11;E;4;99;1015.2;1011.1
07.06.2009;Albury;4.7;11.6;14.4;;;NNW;30;NNW;6;93;1007.5;1006.3
08.06.2009;Albury;9;12;4.6;;;WNW;33;WNW;9;88;1009.6;1008.7
09.06.2009;Albury;6.3;8.8;2;;;W;43;NNW;13;92;1011.1;1008.3
10.06.2009;Albury;3;10.5;5.6;;;WNW;37;W;15;77;1017.6;1018.4
11.06.2009;Albury;-2;9.6;0;;;SE;13;;0;84;1025.1;1023
12.06.2009;Albury;-1.3;8.2;0;;;ESE;15;E;6;99;1025.7;1022.2
13.06.2009;Albury;1.8;12.4;0;;;ENE;28;E;4;86;1018.3;1013
14.06.2009;Albury;2;15.8;0;;;NNE;24;;0;82;1011.8;1009.3
15.06.2009;Albury;0.5;14.9;0.4;;;ESE;13;NNE;2;99;1013.9;1012.8
16.06.2009;Albury;1.2;17.7;0;;;SE;17;;0;83;1022.3;1022.2
17.06.2009;Albury;0.6;15.9;0;;;WSW;13;;0;94;1029.7;1027.7
18.06.2009;Albury;0.5;14.7;0;;;N;11;N;6;99;1031.6;1028.6
19.06.2009;Albury;0.5;15.3;0;;;ESE;13;NE;6;93;1030.8;1027.1
20.06.2009;Albury;0.9;17.3;0;;;NNE;28;NE;4;85;1025.7;1020.6
21.06.2009;Albury;7;17;1.6;;;ENE;46;NW;4;99;1021.9;1018.6
22.06.2009;Albury;5;14.9;5.6;;;SE;19;SE;4;99;1020.7;1018.6
23.06.2009;Albury;3.9;15.5;0;;;W;35;ENE;11;99;1020.2;1016.4
24.06.2009;Albury;7.7;14.1;6;;;ESE;41;ESE;7;81;1014.9;1012.7
25.06.2009;Albury;4.7;12.2;0;;;NNW;24;ESE;2;99;1015.5;1012.7
26.06.2009;Albury;6.9;13.7;4.4;;;SE;46;ESE;7;99;1011.6;1008.1
27.06.2009;Albury;8.4;11.9;0;;;SSE;22;SE;7;79;1007.8;1005.5
28.06.2009;Albury;9.3;12.3;5.4;;;W;22;WSW;9;98;1007.5;1006.6
29.06.2009;Albury;8.2;15.7;3.6;;;NE;26;NE;9;91;1011.4;1009.4
30.06.2009;Albury;9.1;16.1;2;;;NW;72;NE;11;78;1007.6;1001
01.07.2009;Albury;8.3;13.3;8.4;;;NW;52;N;20;85;1006.5;1005.2
02.07.2009;Albury;8.8;11.6;5;;;WNW;54;NW;19;88;1009.4;1006.8
03.07.2009;Albury;7.6;12;7.8;;;W;61;W;17;82;1008.6;1009.6
04.07.2009;Albury;5.7;13.2;0;;;WNW;39;WNW;15;91;1016.3;1014.9
05.07.2009;Albury;3.4;12.4;0;;;W;31;W;9;80;1019.9;1019
06.07.2009;Albury;0;12.1;0;;;ENE;19;NNE;7;99;1022.4;1020.4
07.07.2009;Albury;-1.5;12.5;0;;;E;19;;0;91;1026;1024.6
08.07.2009;Albury;-1.7;13.8;0;;;E;17;;0;84;1030.4;1028.1
09.07.2009;Albury;-0.4;15;0.2;;;ESE;13;;0;84;1032;1028.6
10.07.2009;Albury;0.1;13.5;0;;;E;13;;0;93;1028.7;1023.8
11.07.2009;Albury;4.8;13.3;0.6;;;NE;24;;0;96;1020.5;1015.6
12.07.2009;Albury;8.1;16.5;0.6;;;NNW;33;SSE;7;77;1010.4;1007.7
13.07.2009;Albury;5.9;13.1;1;;;WNW;41;N;13;82;1007.6;1005.5
14.07.2009;Albury;6.9;11;6.8;;;W;30;N;9;94;1006.6;1005.8
15.07.2009;Albury;2.9;12.6;1.8;;;WSW;22;ENE;4;99;1010.5;1009.9
16.07.2009;Albury;-0.6;13.4;0;;;WNW;24;;0;95;1015.6;1014.5
17.07.2009;Albury;-0.3;14.4;0.2;;;N;17;NNE;4;88;1022.4;1020.6
18.07.2009;Albury;-1;12;0;;;N;20;;0;98;1023;1019.5
19.07.2009;Albury;3.2;14.1;0.6;;;NNE;24;ESE;7;94;1021.6;1019.8
20.07.2009;Albury;3.6;16.5;0.2;;;NW;39;;0;95;1023.1;1018.4
21.07.2009;Albury;0.8;17.7;0;;;N;43;ENE;4;87;1019.7;1013.4
22.07.2009;Albury;6.6;12.3;0;;;W;44;ENE;7;74;1009.5;1006.2
23.07.2009;Albury;6;13.5;9.8;;;WNW;26;W;13;83;1015.1;1018.4
24.07.2009;Albury;-0.1;12.9;0;;;NW;22;;0;87;1027.3;1025.4
25.07.2009;Albury;-0.3;12.2;0;;;NE;20;;0;95;1026.8;1022.7
26.07.2009;Albury;2.1;9.8;0;;;SSE;13;;0;85;1018;1013.7
27.07.2009;Albury;1.3;8.8;0;;;N;20;ENE;6;99;1019.9;1019.9
28.07.2009;Albury;4.2;12.7;3.8;;;WNW;31;NW;11;89;1024;1023.1
29.07.2009;Albury;8.3;13.2;2.4;;;WNW;24;NW;11;98;1026;1025.4
30.07.2009;Albury;3.3;12.1;0.2;;;NNW;22;;0;99;1025.8;1022.7
31.07.2009;Albury;6.5;14.5;5.2;;;W;35;W;19;81;1021.3;1021.5
01.08.2009;Albury;7.4;13.9;0.2;;;W;30;;0;99;1026.8;1025.3
02.08.2009;Albury;7.5;14.1;0.8;;;NNW;30;SW;2;94;1027.9;1024.8
03.08.2009;Albury;8.3;13.8;0.8;;;NNW;37;W;20;79;1023.1;1022.9
04.08.2009;Albury;3.2;14.7;0;;;SSE;17;;0;91;1021.7;1018.9
05.08.2009;Albury;5.7;13.8;5.4;;;NNE;19;ENE;7;98;1022.2;1020.2
06.08.2009;Albury;5.1;17.1;0.4;;;N;35;;0;99;1021.9;1016.7
07.08.2009;Albury;8;13.9;0.8;;;WNW;57;WNW;35;79;1012.8;1015.6
08.08.2009;Albury;-0.8;12.9;4.2;;;WNW;24;E;6;78;1026.4;1023
09.08.2009;Albury;-1;12.2;0;;;ESE;15;S;2;91;1021.6;1018.5
10.08.2009;Albury;1.9;14.8;0.2;;;SE;20;SSE;4;72;1018.6;1014.7
11.08.2009;Albury;5.9;17.7;0.4;;;NNE;43;E;19;62;1009;1008.6
12.08.2009;Albury;6.9;14.3;4.8;;;W;24;SSE;6;99;1011.5;1010
13.08.2009;Albury;7.7;11.6;0.2;;;NW;22;NW;6;94;1015.7;1015.3
14.08.2009;Albury;6.8;15.2;1.2;;;WSW;22;;0;99;1021.1;1019.1
15.08.2009;Albury;2.7;17.5;0.2;;;NNE;24;SE;7;99;1021.2;1016.8
16.08.2009;Albury;5.1;15.5;1.6;;;W;39;NE;11;79;1012.2;1006.4
17.08.2009;Albury;4.2;13.6;3.2;;;WNW;37;W;20;73;1018.2;1019.7
18.08.2009;Albury;0.6;15.6;0;;;WNW;15;;0;85;1029.8;1027.2
19.08.2009;Albury;1.6;16.4;0;;;E;17;NE;7;99;1027.7;1022.5
20.08.2009;Albury;5.5;18.4;0;;;N;22;ESE;6;78;1019.7;1014.3
21.08.2009;Albury;7.3;14.8;1;;;WNW;59;NNE;26;72;1004;1001.7
22.08.2009;Albury;0.2;14.1;6.6;;;NE;26;SE;9;90;1012;1009.6
23.08.2009;Albury;5.8;18.9;3.8;;;NNE;26;ENE;7;94;1011.5;1007.1
24.08.2009;Albury;8.9;17.1;1.2;;;WNW;63;NNW;26;68;1004.1;1001
25.08.2009;Albury;7.1;12.8;2;;;W;85;W;15;75;1009.6;1008.2
26.08.2009;Albury;4.2;14.4;3.6;;;NW;43;NNW;13;83;1016.1;1014.4
27.08.2009;Albury;1.1;16.7;0.4;;;N;30;ENE;11;72;1018.5;1014.6
28.08.2009;Albury;1.1;18.6;0;;;NNW;24;ESE;7;87;1016.9;1013.3
29.08.2009;Albury;7.2;17.9;4.2;;;W;59;NE;20;81;1002.6;996.9
30.08.2009;Albury;6.3;11.1;13.4;;;WNW;56;W;26;77;1014.2;1015.2
31.08.2009;Albury;6.7;14.2;1.4;;;NW;39;NW;19;90;1018.9;1016.8
01.09.2009;Albury;5.1;14.2;3;;;WNW;24;WNW;7;96;1023.2;1021.7
02.09.2009;Albury;1;16.8;0;;;ESE;24;ESE;9;82;1024.9;1020.2
03.09.2009;Albury;6.1;20.7;0;;;NE;43;SE;4;80;1016.6;1010.8
04.09.2009;Albury;6.3;16.9;1.4;;;NW;35;ESE;6;85;1014.4;1012.3
05.09.2009;Albury;2.1;15;0;;;WNW;30;ESE;4;81;1019.5;1017.9
06.09.2009;Albury;1.6;16.6;0;;;NE;37;SE;9;79;1018.4;1011.4
07.09.2009;Albury;8.3;17.6;0;;;W;41;ENE;9;73;1005;1002.7
08.09.2009;Albury;5.7;16.5;0;;;W;46;W;7;90;1009.9;1009
09.09.2009;Albury;7.5;14.3;0;;;W;35;W;17;82;1012.8;1011.3
11.09.2009;Albury;;18.8;;;;N;31;SE;7;83;1022.2;1018.2
12.09.2009;Albury;6.5;24.7;0;;;NE;39;SE;6;70;1020;1015.4
13.09.2009;Albury;13.2;25.1;0;;;NNE;35;E;9;44;1017;1012.2
14.09.2009;Albury;4.3;17.8;0;;;SW;24;NE;2;60;1022.6;1019.9
15.09.2009;Albury;1.6;17.2;0;;;S;20;ESE;6;68;1022.5;1019.1
16.09.2009;Albury;2.8;21.1;0;;;E;17;E;7;74;1022.2;1016.8
17.09.2009;Albury;6.3;19;0;;;WNW;24;E;6;76;1013.8;1011.9
18.09.2009;Albury;7.4;20.4;10.2;;;WNW;46;;0;75;1021.2;1018.6
19.09.2009;Albury;5.4;20.6;0;;;NNW;22;NE;6;98;1018.8;1015
20.09.2009;Albury;8;18.9;0.4;;;W;33;;0;79;1014.6;1013.7
21.09.2009;Albury;3.7;19;0.2;;;NE;43;ESE;9;73;1014.5;1008.2
22.09.2009;Albury;11.5;20.2;8.4;;;NNE;50;NNW;17;77;1002.6;999.2
23.09.2009;Albury;9.3;16.8;28.8;;;W;56;W;26;82;997.8;1003.8
24.09.2009;Albury;8.2;18.2;1.4;;;NW;41;WNW;9;72;1015.1;1011.8
25.09.2009;Albury;5.3;20.6;0;;;NNW;44;NNE;22;60;1009.3;1002.9
26.09.2009;Albury;6.8;12.2;6;;;WNW;56;WNW;37;79;1005.2;1003.9
27.09.2009;Albury;4.5;12.9;1.6;;;W;61;WNW;35;78;1009.8;1008.4
28.09.2009;Albury;5.5;17.9;0;;;W;43;W;17;79;1012.3;1009.9
29.09.2009;Albury;1.7;17;0;;;NW;19;E;6;73;1015.6;1013.4
30.09.2009;Albury;4;21.4;0;;;NNW;35;E;7;75;1018;1013.4
01.10.2009;Albury;8.9;21.1;0;;;SSW;28;N;6;76;1012.4;1008.8
02.10.2009;Albury;11.7;22;0;;;SE;30;S;4;68;1009.6;1004.9
03.10.2009;Albury;8.5;13.5;3.2;;;SSE;31;ESE;17;87;1014;1015.1
04.10.2009;Albury;9.6;16.2;1.8;;;NNE;20;;0;85;1020.6;1019.4
05.10.2009;Albury;8.3;19.7;0.2;;;W;35;;0;85;1020.7;1018.6
06.10.2009;Albury;5.2;16.2;0;;;SE;37;ENE;6;85;1020.2;1018.3
07.10.2009;Albury;3.8;15.9;3.6;;;S;35;;0;90;1018.7;1018.5
